year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price
2012,91235,0,1,3,11.5,2982.0,171.0,7.0,15131.800336511496
2014,38800,1,1,3,18.6,1199.0,76.8,5.0,3196.8592260235555
2013,83000,0,1,3,21.14,1498.0,103.52,5.0,5328.0987100392595
2018,41283,1,1,3,20.73,1373.0,91.1,5.0,11104.879416713404
2013,23000,1,0,3,11.05,2894.0,444.0,4.0,41503.08468872686
2014,48000,0,0,3,21.76,1995.0,190.0,5.0,29725.182277061132
2015,48214,0,0,3,17.11,1968.0,174.33,5.0,26158.160403813796
2016,35000,0,1,3,22.9,1248.0,74.0,5.0,7010.656197420078
2010,35277,1,0,3,7.81,5461.0,362.9,5.0,33651.14974761637
2016,54620,0,0,3,21.66,1498.0,103.52,5.0,11060.011217049916
2012,136997,0,0,3,17.2,1968.0,138.1,5.0,9534.492428491307
2019,14322,1,1,3,21.1,814.0,55.2,5.0,4744.8121144139095
2012,65634,0,1,3,22.07,1199.0,73.9,5.0,3925.967470555244
2016,6000,1,1,3,20.63,1198.0,67.06,5.0,2804.2624789680312
2013,33280,1,1,3,19.4,1198.0,86.8,5.0,2680.8749298934376
2013,29000,1,0,3,14.8,1595.0,120.7,5.0,12619.18115535614
2015,42831,0,1,3,26.0,1498.0,98.6,5.0,7975.322490185081
2016,90000,0,1,3,12.99,2494.0,100.6,7.0,12226.584408300616
2017,24005,1,1,3,20.4,1197.0,81.8,5.0,6954.570947840717
2012,32792,0,1,3,15.1,2179.0,140.0,7.0,8861.46943353898
2014,147898,0,1,3,22.7,1498.0,89.84,5.0,4957.936062815479
2012,131765,0,1,3,13.0,2982.0,168.5,7.0,15143.01738642737
2013,65000,0,0,3,21.5,1498.0,108.5,5.0,7010.656197420078
2010,66123,0,1,2,20.0,1399.0,68.0,5.0,2355.5804823331464
2015,41000,0,0,3,15.3,2993.0,258.0,5.0,50476.72462142456
2017,23550,0,0,3,19.27,2143.0,167.62,5.0,37756.59001682557
2012,45000,1,1,2,19.4,1198.0,86.8,5.0,4094.2232192933257
2013,60000,1,1,3,20.36,1197.0,78.9,5.0,3084.6887268648343
2016,44414,0,0,3,17.9,2143.0,170.0,5.0,47672.462142456534
2019,1000,1,1,3,18.9,1197.0,81.86,5.0,7291.082445316882
2012,62500,0,0,2,17.68,1968.0,174.33,5.0,21312.394840157038
2013,21000,1,0,2,14.4,1598.0,103.6,5.0,4991.587212563096
2017,8525,0,0,2,16.6,1998.0,112.0,5.0,25799.214806505886
2014,29000,0,1,3,22.54,1396.0,88.73,5.0,9366.236679753225
2014,40000,0,0,3,17.68,1968.0,174.33,5.0,25743.129556926528
2012,88000,0,1,3,25.44,936.0,57.6,5.0,1682.5574873808187
2012,53537,1,0,3,13.7,1798.0,157.75,5.0,7728.5473920358945
2014,51000,0,0,3,22.48,1995.0,190.0,5.0,37577.11721817162
2007,118500,1,1,3,12.9,1598.0,102.5,5.0,1402.1312394840156
2012,63000,0,1,3,22.07,1199.0,73.9,5.0,4711.160964666293
2015,25000,0,1,3,19.98,1461.0,108.5,8.0,7571.508693213685
2014,37382,0,0,3,13.0,2143.0,201.1,5.0,35894.5597307908
2017,24773,1,1,3,21.4,1197.0,83.1,5.0,8412.787436904093
2012,62000,0,1,3,22.32,1582.0,126.32,5.0,5159.842961301177
2017,52340,1,1,3,19.81,1086.0,68.05,5.0,4531.688166012338
2016,56739,0,1,3,15.4,1997.0,120.0,7.0,11564.778463264161
2018,36091,0,0,3,12.7,2179.0,187.7,5.0,62546.27033090297
2010,120000,0,1,3,20.0,1399.0,68.0,5.0,2916.4329781267525
2016,33000,0,1,3,25.47,1248.0,88.5,7.0,9534.492428491307
2007,60006,1,1,3,0.0,1497.0,117.3,5.0,3309.0297251822767
2014,52000,0,1,3,25.8,1498.0,98.6,5.0,3925.967470555244
2015,43571,1,1,3,20.36,1197.0,78.9,5.0,3982.0527201346044
2013,50000,0,1,3,25.8,1498.0,98.6,5.0,3645.541222658441
2008,113000,0,1,3,17.5,1896.0,106.0,5.0,5047.672462142456
2014,90000,0,1,3,19.87,1461.0,83.8,5.0,6001.121704991587
2017,29000,0,1,2,17.45,1493.0,100.0,7.0,7291.082445316882
2016,20000,0,1,3,24.3,1248.0,88.5,5.0,10095.344924284913
2016,61012,1,1,3,18.6,1197.0,81.83,5.0,6730.229949523275
2009,87459,1,1,3,14.7,1390.0,85.0,5.0,3084.6887268648343
2010,70500,1,1,3,15.64,1193.0,64.1,5.0,1682.5574873808187
2015,64103,0,0,3,15.73,1968.0,174.33,5.0,22321.929332585525
2014,76000,1,0,3,14.7,1798.0,177.5,5.0,11217.049915872125
2014,104000,0,1,3,23.59,1364.0,67.06,5.0,3365.1149747616373
2010,42001,1,1,3,16.1,1248.0,74.0,5.0,2366.7975322490183
2014,37245,1,0,3,14.8,1595.0,120.7,5.0,13415.591699383061
2013,45000,0,1,3,27.4,1498.0,98.6,5.0,3645.541222658441
2012,117837,0,1,2,22.32,1582.0,126.32,5.0,5328.0987100392595
2014,30000,0,1,3,20.46,1461.0,83.8,5.0,6674.144699943914
2015,27057,1,1,2,15.29,1591.0,121.3,5.0,9141.895681435783
2016,8500,1,0,3,20.51,998.0,67.0,5.0,4733.595064498037
2010,30500,1,0,3,11.74,1796.0,186.0,5.0,11777.902411665731
2012,56000,0,0,3,11.8,2967.0,246.7,5.0,50476.72462142456
2012,44000,1,1,2,19.81,1086.0,68.05,5.0,3252.944475602916
2017,10500,1,0,3,14.3,1598.0,103.52,5.0,9983.174425126192
2017,26000,1,0,3,14.67,1798.0,177.46,5.0,29164.329781267526
2018,25166,1,1,3,17.19,1197.0,81.86,5.0,9220.415030846889
2014,64000,0,1,2,25.8,1498.0,98.6,5.0,3925.967470555244
2004,61000,1,1,2,18.9,998.0,67.1,5.0,1402.1312394840156
2013,107000,0,1,3,21.03,1461.0,65.0,5.0,4150.308468872686
2018,29161,0,0,3,19.27,2143.0,167.62,5.0,44206.39371845204
2013,32000,1,1,3,22.5,998.0,67.04,5.0,2972.518227706113
2015,46173,0,1,2,19.01,1461.0,108.5,5.0,10005.608524957936
2017,26327,1,0,3,16.82,1998.0,189.08,4.0,40011.21704991587
2015,70436,0,1,3,0.0,1498.0,99.0,5.0,4038.137969713965
2016,60813,1,1,2,18.6,1199.0,76.8,5.0,3724.0605720695453
2012,45000,0,1,3,22.07,1199.0,73.9,5.0,4038.137969713965
2016,64000,0,1,3,22.9,1248.0,74.0,5.0,7627.593942793045
2012,41284,0,1,3,20.0,1399.0,68.05,5.0,2804.2624789680312
2019,14165,0,0,3,11.36,2755.0,171.5,7.0,22030.286034772853
2011,67000,0,0,2,11.72,2199.0,194.3,7.0,7851.934941110488
2011,32572,1,1,3,17.4,1497.0,117.3,5.0,4340.998317442512
2018,14960,1,1,3,18.6,1197.0,81.83,5.0,7033.090297251822
2015,55980,0,0,3,19.27,2143.0,167.62,5.0,20325.29444756029
2013,74000,0,1,3,25.44,936.0,57.6,5.0,2972.518227706113
2015,56847,0,1,3,22.54,1396.0,88.73,5.0,8076.27593942793
2015,121374,0,1,3,12.99,2494.0,100.6,7.0,16040.381379697139
2013,52000,0,1,3,20.77,1248.0,88.76,7.0,7739.7644419517665
2014,118000,0,1,3,12.8,2494.0,102.0,7.0,12058.328659562534
2016,33915,1,1,3,17.8,1497.0,117.3,5.0,9074.593381940549
2014,82002,0,0,3,17.05,1995.0,184.0,5.0,20751.54234436343
2017,33000,0,1,3,24.0,1120.0,70.0,5.0,5328.0987100392595
2016,34000,0,1,3,28.09,1248.0,88.5,5.0,9478.407178911944
2012,55000,0,1,3,20.5,1598.0,103.6,5.0,3925.967470555244
2014,60000,0,1,2,19.91,1498.0,103.6,5.0,4150.308468872686
2017,49575,1,1,3,18.7,1199.0,88.7,5.0,8042.624789680313
2010,83000,1,1,3,19.81,1086.0,68.05,5.0,1962.983735277622
2018,51346,0,0,3,16.38,1995.0,183.0,5.0,24666.292765002803
2017,43000,0,1,3,13.68,2393.0,147.8,7.0,20919.79809310151
2011,35000,1,1,1,19.7,796.0,35.0,5.0,2075.154234436343
2017,27872,1,1,2,20.4,1197.0,81.8,5.0,6674.144699943914
2014,16514,1,1,3,18.9,1197.0,82.0,5.0,4206.393718452046
2012,120000,0,1,3,22.9,1248.0,74.0,5.0,4206.393718452046
2008,143275,0,1,3,22.0,1582.0,126.2,5.0,2916.4329781267525
2010,52000,1,1,3,17.0,1197.0,80.0,5.0,3140.773976444195
2017,29819,0,0,3,11.57,2987.0,254.79,5.0,68749.29893438025
2014,57000,0,1,2,15.8,2148.0,170.0,5.0,20190.689848569826
2014,88500,0,1,3,23.2,1248.0,73.94,5.0,4879.416713404374
2016,28000,0,1,3,19.67,1582.0,126.2,5.0,15423.443634324172
2010,67000,1,1,3,19.0,998.0,66.1,5.0,2243.409983174425
2016,26000,0,1,3,19.64,1461.0,108.45,5.0,11217.049915872125
2010,120000,0,1,3,17.8,1248.0,76.0,5.0,1850.8132361189007
2017,51982,0,0,3,16.55,2993.0,258.0,5.0,51340.43746494671
2010,36000,1,1,2,20.36,1197.0,78.9,5.0,3645.541222658441
2016,47000,0,1,3,12.8,2494.0,102.0,7.0,14357.82389231632
2002,60000,1,1,1,17.3,993.0,60.0,5.0,616.9377453729669
2018,31025,0,1,3,28.4,1248.0,74.0,5.0,8020.1906898485695
2013,105000,0,1,2,12.05,2179.0,120.0,8.0,7851.934941110488
2017,121900,0,1,3,22.95,1248.0,74.0,5.0,4206.393718452046
2017,22695,1,1,3,18.88,999.0,123.24,5.0,9534.492428491307
2012,73000,0,1,3,23.4,1248.0,74.0,5.0,4879.416713404374
2016,32227,1,1,3,22.74,796.0,47.3,5.0,3656.7582725743127
2011,55000,1,1,3,17.0,1497.0,118.0,5.0,4722.378014582165
2018,11287,0,0,3,12.07,2967.0,241.4,7.0,78923.16320807626
2009,48000,0,0,2,17.0,1896.0,105.0,5.0,3309.0297251822767
2012,54308,1,1,3,17.1,1591.0,121.3,5.0,4800.897363993269
2009,78442,1,0,3,16.8,1497.0,118.0,5.0,4004.486819966349
2013,46000,0,1,3,21.9,1396.0,88.8,5.0,3488.502523836231
2014,45051,1,0,3,15.0,1396.0,98.6,5.0,6685.361749859787
2011,69000,0,1,3,20.54,1598.0,103.6,5.0,5272.013460459899
2014,49000,1,1,3,17.4,1497.0,117.3,5.0,7739.7644419517665
2018,45000,0,1,3,22.95,1248.0,74.0,5.0,5888.9512058328655
2015,64000,0,0,3,18.48,1995.0,177.0,5.0,31407.73976444195
2009,60000,1,1,3,18.9,1061.0,67.0,5.0,1514.3017386427368
2015,62178,1,1,3,18.2,1199.0,88.7,5.0,5440.26920919798
2012,58006,0,1,3,15.0,1896.0,105.0,5.0,7515.423443634324
2010,74000,1,1,3,20.36,1197.0,78.9,5.0,3477.2854739203585
2015,77771,0,0,3,19.27,2143.0,170.0,5.0,20908.58104318564
2012,45275,1,1,3,20.36,1197.0,78.9,5.0,3140.773976444195
2016,48000,0,1,3,13.68,2393.0,147.8,7.0,22714.52607964105
2015,31652,0,0,3,17.68,1968.0,174.33,5.0,30039.25967470555
2010,109000,0,1,2,12.99,2494.0,100.6,7.0,9265.283230510375
2015,31978,1,1,3,16.47,1198.0,73.9,5.0,4363.432417274256
2011,70000,1,1,3,20.92,998.0,67.1,5.0,2355.5804823331464
2017,15000,1,0,3,18.0,1497.0,117.3,5.0,14234.436343241727
2013,59138,0,1,3,17.0,1405.0,70.0,5.0,2893.998878295008
2014,61726,0,0,3,17.68,1968.0,174.33,5.0,23297.812675266403
2015,48000,0,0,3,17.9,2143.0,136.0,5.0,22725.74312955693
2014,77815,1,0,3,23.1,998.0,67.04,5.0,4767.246214245653
2017,29000,0,0,3,17.9,2143.0,201.15,5.0,63937.18452047111
2017,44000,0,0,3,12.7,2179.0,187.7,5.0,49355.01962983735
2011,108626,0,1,3,20.54,1598.0,103.6,5.0,4094.2232192933257
2012,71791,1,1,3,14.0,796.0,35.0,5.0,2299.4952327537853
2012,91931,1,1,3,18.5,1198.0,86.8,5.0,3510.9366236679753
2012,91183,0,1,3,18.0,1248.0,75.0,5.0,3196.8592260235555
2012,65000,1,1,3,18.9,998.0,67.1,5.0,2972.518227706113
2015,88428,0,1,3,16.0,2179.0,140.0,7.0,11890.072910824452
2008,138000,0,1,2,17.1,1396.0,70.0,5.0,1402.1312394840156
2018,18000,1,1,3,16.02,1373.0,93.7,7.0,9254.066180594504
2011,60000,1,0,3,11.7,2354.0,177.6,5.0,4991.587212563096
2012,48000,0,1,3,19.3,1248.0,73.9,5.0,4150.308468872686
2008,40000,1,1,3,17.7,1497.0,78.0,5.0,2019.0689848569825
2014,51495,0,0,3,17.68,1968.0,174.33,5.0,24621.424565339315
2011,30000,0,0,3,9.52,2993.0,313.0,4.0,54963.54458777341
2017,97430,0,0,3,14.75,2967.0,245.0,7.0,70297.2518227706
2012,83000,0,1,3,23.0,1396.0,90.0,5.0,6169.377453729669
2009,37000,1,0,1,16.95,1197.0,78.9,5.0,3309.0297251822767
2016,28503,1,0,3,19.0,1199.0,88.7,5.0,7694.896242288278
2015,76496,0,1,3,25.2,1248.0,74.0,5.0,6898.485698261356
2011,79152,1,1,2,18.5,1197.0,82.85,5.0,3701.6264722378014
2011,32000,1,1,3,16.47,1198.0,73.9,5.0,2860.3477285473914
2009,35000,1,1,3,19.7,796.0,46.3,5.0,1682.5574873808187
2004,105000,1,0,2,11.3,1794.0,125.0,5.0,2804.2624789680312
2006,56000,1,1,2,19.7,796.0,46.3,5.0,1570.3869882220974
2012,73000,0,1,3,21.12,1248.0,88.8,5.0,3813.7969713965226
2012,38000,1,1,3,19.7,796.0,46.3,5.0,2523.836231071228
2008,80000,1,0,3,11.3,1794.0,125.0,5.0,3140.773976444195
2016,24973,1,1,3,18.6,1197.0,81.83,5.0,8592.260235558047
2016,45000,0,1,3,24.3,1248.0,88.5,5.0,8020.1906898485695
2010,87430,1,1,3,17.0,1497.0,118.0,5.0,3925.967470555244
2014,133944,0,1,2,18.0,1248.0,75.0,5.0,3925.967470555244
2013,57000,0,1,3,25.8,1498.0,98.6,5.0,3869.8822209758832
2016,27904,1,1,3,21.1,814.0,55.2,5.0,3982.0527201346044
2015,30717,0,0,2,21.76,1995.0,190.0,5.0,29153.11273135165
2012,80000,0,1,3,22.32,1582.0,126.32,5.0,5888.9512058328655
2013,47304,0,1,3,21.02,1248.0,88.8,5.0,3252.944475602916
2005,100000,1,0,3,14.45,1984.0,227.0,5.0,2299.4952327537853
2017,30000,1,1,3,24.07,998.0,67.1,5.0,4206.393718452046
2014,68000,0,1,3,22.7,1498.0,89.84,5.0,7571.508693213685
2011,21000,1,1,2,18.0,995.0,62.0,5.0,1065.6197420078518
2017,21000,0,0,3,19.33,1999.0,177.0,5.0,58328.65956253505
2007,119000,1,1,1,13.1,1997.0,141.1,5.0,4385.866517106001
2019,13747,1,0,3,14.67,1798.0,177.46,5.0,30622.546270330902
2013,70000,0,1,3,22.9,1248.0,74.0,5.0,3925.967470555244
2016,18000,1,0,3,18.5,1197.0,83.14,5.0,6954.570947840717
2011,83000,0,1,3,23.08,1461.0,63.1,5.0,3084.6887268648343
2015,130000,0,1,3,23.4,1248.0,74.0,5.0,3645.541222658441
2012,63400,0,1,3,17.8,1399.0,67.0,5.0,3645.541222658441
2003,65000,1,1,3,17.3,993.0,60.0,5.0,729.1082445316881
2017,8350,1,1,3,13.8,1998.0,192.0,5.0,39259.67470555244
2014,45000,0,1,3,23.59,1364.0,67.05,5.0,3645.541222658441
2018,26200,1,1,3,24.7,796.0,47.3,5.0,3252.944475602916
2011,11000,1,1,1,18.9,796.0,47.0,5.0,3252.944475602916
2009,90000,0,0,2,11.0,2993.0,235.0,5.0,19910.26360067302
2015,74000,1,0,2,11.07,2496.0,179.5,5.0,9254.066180594504
2015,37081,1,0,3,18.9,1197.0,82.0,5.0,6472.237801458216
2017,39000,0,1,3,24.3,1248.0,88.5,5.0,10644.980370162646
2008,99000,0,0,1,12.07,2967.0,241.4,7.0,14526.079641054403
2015,38000,0,0,3,17.9,2143.0,136.0,5.0,22434.09983174425
2007,72000,1,1,1,16.1,796.0,37.0,4.0,1121.7049915872126
2015,93000,0,1,2,20.45,1461.0,83.8,5.0,7964.105440269209
2017,5900,0,1,3,21.43,1364.0,87.2,5.0,18508.132361189007
2014,25000,0,1,3,15.8,2148.0,170.0,5.0,29164.329781267526
2010,68000,0,1,2,21.1,1248.0,73.9,5.0,3589.45597307908
2017,35676,1,0,3,16.0,1497.0,117.3,7.0,10633.763320246775
2015,74310,0,1,3,24.4,1120.0,71.0,5.0,4486.81996634885
2014,59364,0,0,3,14.21,2143.0,203.0,5.0,29725.182277061132
2014,41380,1,0,2,14.8,1595.0,120.7,5.0,13202.467750981492
2017,33900,0,0,3,15.0,2143.0,204.0,5.0,41503.08468872686
2016,28000,1,1,3,17.8,1497.0,117.3,5.0,9814.91867638811
2011,93982,1,1,3,17.0,1497.0,118.0,5.0,4206.393718452046
2010,95000,1,1,3,16.2,1599.0,103.2,5.0,2804.2624789680312
2017,9000,1,0,3,13.5,1999.0,246.74,5.0,38698.82220975883
2015,52516,1,1,3,18.0,1198.0,86.7,5.0,5215.928210880539
2015,20000,1,0,3,18.86,1598.0,122.0,4.0,35894.5597307908
2017,56451,0,0,3,13.5,2987.0,282.0,5.0,70454.29052159282
2014,37000,1,1,3,21.1,814.0,55.2,5.0,3645.541222658441
2014,17400,1,1,3,20.51,998.0,67.04,5.0,3477.2854739203585
2011,90207,0,1,3,21.1,1248.0,73.9,5.0,4385.866517106001
2011,89616,0,0,3,16.07,1995.0,181.0,5.0,12338.754907459337
2014,85000,0,1,3,13.49,2179.0,138.03,5.0,3925.967470555244
2014,79271,0,0,3,20.38,1968.0,143.0,5.0,18508.132361189007
2012,56000,0,0,3,12.7,2179.0,187.7,5.0,33651.14974761637
